drug,n_patients,n_test,pearson_en,rmse_en,pearson_xgb,rmse_xgb
17-AAG (Tanespimycin),314,63,0.5097,42.0304,0.5883,37.7471
A-674563,324,65,0.3468,50.8987,0.4142,45.5624
ABT-737,242,49,0.1665,55.2955,0.3088,48.1337
AT7519,310,62,0.5318,36.3452,0.362,39.941
AZD1480,316,64,0.3253,45.3028,0.3187,42.2478
Afatinib (BIBW-2992),321,65,0.0761,47.5646,0.0035,45.3308
Alisertib (MLN8237),321,65,0.1738,44.005,-0.0307,44.502
Axitinib (AG-013736),340,68,0.2782,47.8407,0.4544,41.6763
BEZ235,315,63,0.3341,53.7862,0.3015,49.6158
BI-2536,111,23,0.2925,46.0326,-0.0529,50.6311
BMS-345541,322,65,0.0706,34.3799,0.185,31.4718
Barasertib (AZD1152-HQPA),318,64,0.527,38.6071,0.5077,37.7669
Bay 11-7085,207,42,0.4275,48.3417,0.3566,48.6082
Bortezomib (Velcade),326,66,0.1437,63.4252,0.1627,59.1409
Bosutinib (SKI-606),320,64,0.2191,52.4471,0.2223,47.069
CHIR-99021,316,64,-0.0557,42.6484,0.2341,34.9297
CI-1040 (PD184352),321,65,0.5213,41.6209,0.4171,43.0264
CYT387,318,64,0.4956,40.9273,0.3469,43.4992
Cabozantinib,313,63,0.4433,49.5446,0.4357,49.427
Canertinib (CI-1033),318,64,0.409,33.9184,0.3102,33.7269
Cediranib (AZD2171),318,64,0.2193,38.9429,0.3934,30.9591
Crenolanib,311,63,0.4088,43.9325,0.3965,42.0149
Crizotinib (PF-2341066),347,70,0.2381,43.8822,0.1192,43.4015
DBZ,229,46,0.1103,48.4357,0.0522,41.604
Dasatinib,347,70,0.5879,46.8269,0.4767,50.7503
Doramapimod (BIRB 796),318,64,0.3955,51.209,0.4435,46.7549
Dovitinib (CHIR-258),319,64,0.498,49.346,0.3517,53.3223
Elesclomol,299,60,0.2627,57.0915,0.3019,50.6362
Entospletinib (GS-9973),175,35,0.3463,47.1782,0.287,45.8052
Entrectinib,75,15,0.2725,52.0683,0.1575,51.3401
Erlotinib,343,69,0.3397,35.4387,0.3695,31.3408
Flavopiridol,318,64,0.3634,61.2057,0.3633,58.7893
Foretinib (XL880),317,64,0.3913,49.1025,0.435,43.7873
GDC-0879,315,63,-0.0255,28.009,-0.2122,22.3623
